일시,기온(°C),습도(%),풍속(m/s),강수량(mm),일사(MJ/m2)
2026-08-03 00:00:00,28.3,65,0.8,,
2026-08-03 01:00:00,27.8,68,1.3,,
2026-08-03 02:00:00,27.4,67,1.1,,
2026-08-03 03:00:00,27.2,70,0.6,,
2026-08-03 04:00:00,27.0,71,0.8,,
2026-08-03 05:00:00,26.5,74,1.3,,
2026-08-03 06:00:00,26.6,78,0.8,,0.01
2026-08-03 07:00:00,26.9,76,0.9,,0.32
2026-08-03 08:00:00,28.6,72,1.1,,0.94
2026-08-03 09:00:00,30.3,69,1.3,,1.66
2026-08-03 10:00:00,31.0,68,1.8,,1.57
2026-08-03 11:00:00,32.5,61,1.8,,1.84
2026-08-03 12:00:00,33.6,58,2.2,,1.91
2026-08-03 13:00:00,34.4,55,1.4,,2.54
2026-08-03 14:00:00,36.0,49,2.1,,3.44
2026-08-03 15:00:00,36.3,53,3.3,,2.17
2026-08-03 16:00:00,35.4,57,2.7,,1.37
2026-08-03 17:00:00,36.1,54,2.0,,1.86
2026-08-03 18:00:00,35.1,58,3.7,,1.15
2026-08-03 19:00:00,34.2,58,3.2,,0.51
2026-08-03 20:00:00,33.0,66,3.6,,0.06
2026-08-03 21:00:00,32.2,73,1.7,,
2026-08-03 22:00:00,31.4,76,3.3,,
2026-08-03 23:00:00,30.9,77,2.1,,
2026-08-04 00:00:00,30.4,79,1.5,,
2026-08-04 01:00:00,30.0,80,1.2,,
2026-08-04 02:00:00,29.7,81,0.8,,
2026-08-04 03:00:00,29.3,80,2.1,,
2026-08-04 04:00:00,29.3,74,2.5,,
2026-08-04 05:00:00,29.1,75,2.4,,
2026-08-04 06:00:00,29.0,73,2.6,,0.01
2026-08-04 07:00:00,29.1,73,2.7,,0.24
2026-08-04 08:00:00,30.2,71,2.4,,0.71
2026-08-04 09:00:00,31.7,67,3.1,,1.53
2026-08-04 10:00:00,32.8,64,2.2,,2.0
2026-08-04 11:00:00,33.1,65,1.6,,1.77
2026-08-04 12:00:00,34.7,61,1.4,,2.58
2026-08-04 13:00:00,35.6,60,1.6,,2.48
2026-08-04 14:00:00,34.9,57,1.2,,1.06
2026-08-04 15:00:00,36.2,56,2.6,,2.08
2026-08-04 16:00:00,36.4,55,1.8,,1.96
2026-08-04 17:00:00,35.9,58,3.8,,1.33
2026-08-04 18:00:00,35.3,58,3.9,,1.09
2026-08-04 19:00:00,34.5,59,3.4,,0.45
2026-08-04 20:00:00,33.7,61,3.0,,0.07
2026-08-04 21:00:00,33.2,63,2.5,,
2026-08-04 22:00:00,32.7,64,0.9,,
2026-08-04 23:00:00,32.2,68,2.0,,
2026-08-05 00:00:00,31.7,68,2.9,,
2026-08-05 01:00:00,31.2,72,0.7,,
2026-08-05 02:00:00,30.8,75,1.4,,
2026-08-05 03:00:00,30.4,74,1.9,,
2026-08-05 04:00:00,29.9,75,1.0,,
2026-08-05 05:00:00,29.4,77,1.6,,
2026-08-05 06:00:00,29.1,77,1.5,,0.01
2026-08-05 07:00:00,29.3,76,1.0,,0.3
2026-08-05 08:00:00,30.6,74,2.6,,0.9
2026-08-05 09:00:00,31.6,69,2.1,,1.39
2026-08-05 10:00:00,33.1,64,1.3,,2.28
2026-08-05 11:00:00,34.2,57,2.2,,2.77
2026-08-05 12:00:00,35.4,58,2.4,,3.51
2026-08-05 13:00:00,35.1,56,0.8,,1.95
2026-08-05 14:00:00,36.4,54,1.9,,1.96
2026-08-05 15:00:00,36.4,53,2.2,,1.76
2026-08-05 16:00:00,35.9,54,2.0,,0.98
2026-08-05 17:00:00,36.8,55,2.4,,1.68
2026-08-05 18:00:00,35.5,58,2.0,,0.57
2026-08-05 19:00:00,34.3,63,2.6,,0.42
2026-08-05 20:00:00,33.0,68,1.1,,0.06
2026-08-05 21:00:00,32.4,72,1.6,,
2026-08-05 22:00:00,32.0,75,1.9,,
2026-08-05 23:00:00,31.7,76,1.0,,
2026-08-06 00:00:00,31.4,78,2.2,,
2026-08-06 01:00:00,31.0,78,0.5,,
2026-08-06 02:00:00,30.4,78,2.1,,
2026-08-06 03:00:00,30.2,75,1.7,,
2026-08-06 04:00:00,29.8,67,2.3,,
2026-08-06 05:00:00,29.4,67,2.3,,
2026-08-06 06:00:00,29.1,68,2.2,,0.01
2026-08-06 07:00:00,29.2,71,2.9,,0.35
2026-08-06 08:00:00,30.5,70,2.9,,0.93
2026-08-06 09:00:00,32.0,65,2.5,,1.69
2026-08-06 10:00:00,33.1,65,2.5,,1.9
2026-08-06 11:00:00,33.9,59,2.0,,2.0
2026-08-06 12:00:00,34.3,56,2.2,,2.14
2026-08-06 13:00:00,35.2,50,1.3,,2.27
2026-08-06 14:00:00,36.0,43,2.4,,2.47
2026-08-06 15:00:00,37.4,38,2.5,,3.11
2026-08-06 16:00:00,37.8,39,1.9,,2.62
2026-08-06 17:00:00,37.7,38,1.4,,1.89
2026-08-06 18:00:00,36.5,54,2.4,,1.19
2026-08-06 19:00:00,34.6,60,2.6,,0.43
2026-08-06 20:00:00,33.2,65,2.8,,0.04
2026-08-06 21:00:00,32.6,67,1.2,,
2026-08-06 22:00:00,32.1,70,2.1,,
2026-08-06 23:00:00,31.7,72,0.2,,
2026-08-07 00:00:00,31.4,73,0.5,,
2026-08-07 01:00:00,31.1,75,1.0,,
2026-08-07 02:00:00,30.8,70,1.5,,
2026-08-07 03:00:00,30.3,69,1.8,,
2026-08-07 04:00:00,29.7,70,2.1,,
2026-08-07 05:00:00,29.1,71,2.1,,
2026-08-07 06:00:00,28.7,73,1.7,,0.0
2026-08-07 07:00:00,29.0,72,2.4,,0.3
2026-08-07 08:00:00,30.5,67,2.5,,0.91
2026-08-07 09:00:00,32.3,61,2.3,,1.66
2026-08-07 10:00:00,33.9,55,3.0,,2.27
2026-08-07 11:00:00,35.0,51,1.6,,2.67
2026-08-07 12:00:00,34.7,50,0.9,,1.54
2026-08-07 13:00:00,35.3,49,1.1,,1.21
2026-08-07 14:00:00,37.1,47,2.4,,2.97
2026-08-07 15:00:00,37.6,46,3.1,,3.0
2026-08-07 16:00:00,37.5,46,1.6,,2.3
2026-08-07 17:00:00,37.2,48,3.2,,1.76
2026-08-07 18:00:00,36.4,51,3.2,,0.91
2026-08-07 19:00:00,35.0,57,3.3,,0.47
2026-08-07 20:00:00,33.8,59,3.2,,0.05
2026-08-07 21:00:00,33.2,60,1.2,,
2026-08-07 22:00:00,32.5,60,0.4,,
2026-08-07 23:00:00,32.0,59,0.8,,
2026-08-08 00:00:00,31.3,61,1.1,,
2026-08-08 01:00:00,30.9,65,1.9,,
2026-08-08 02:00:00,30.7,67,2.6,,
2026-08-08 03:00:00,30.2,66,2.9,,
2026-08-08 04:00:00,29.7,69,2.7,,
2026-08-08 05:00:00,29.6,67,3.0,,
2026-08-08 06:00:00,29.2,64,4.6,,0.0
2026-08-08 07:00:00,29.2,65,4.7,,0.29
2026-08-08 08:00:00,30.5,62,3.9,,0.92
2026-08-08 09:00:00,32.0,57,3.0,,1.73
2026-08-08 10:00:00,33.5,54,3.6,,2.43
2026-08-08 11:00:00,34.7,50,3.6,,3.1
2026-08-08 12:00:00,35.3,50,3.8,,3.2
2026-08-08 13:00:00,36.2,48,3.5,,3.19
2026-08-08 14:00:00,36.7,47,3.9,,3.22
2026-08-08 15:00:00,36.4,46,4.3,,3.11
2026-08-08 16:00:00,35.6,45,4.4,,2.62
2026-08-08 17:00:00,34.3,48,4.6,,1.99
2026-08-08 18:00:00,32.7,51,5.2,,1.34
2026-08-08 19:00:00,30.9,54,4.4,,0.44
2026-08-08 20:00:00,29.3,57,4.2,,0.03
2026-08-08 21:00:00,28.0,58,4.8,,
2026-08-08 22:00:00,27.1,60,4.9,,
2026-08-08 23:00:00,26.3,62,4.0,,
2026-08-09 00:00:00,25.7,62,4.0,,
2026-08-09 01:00:00,25.3,64,3.5,,
2026-08-09 02:00:00,25.0,63,3.8,,
2026-08-09 03:00:00,24.7,65,3.5,,
2026-08-09 04:00:00,24.8,64,3.7,,
2026-08-09 05:00:00,24.8,62,2.7,,
2026-08-09 06:00:00,24.6,62,2.8,,0.0
2026-08-09 07:00:00,25.3,58,3.7,,0.3
2026-08-09 08:00:00,26.9,56,3.1,,0.89
2026-08-09 09:00:00,28.2,55,4.6,,1.57
2026-08-09 10:00:00,29.6,55,5.5,,2.06
2026-08-09 11:00:00,29.8,54,5.0,,2.14
2026-08-09 12:00:00,29.9,54,4.9,,1.77
2026-08-09 13:00:00,30.7,54,4.2,,1.83
2026-08-09 14:00:00,31.6,52,3.9,,2.31
2026-08-09 15:00:00,31.4,53,4.4,,1.7
2026-08-09 16:00:00,31.4,52,4.1,,1.82
2026-08-09 17:00:00,30.2,55,5.2,,1.16
2026-08-09 18:00:00,29.2,57,4.7,,0.67
2026-08-09 19:00:00,28.6,58,4.9,,0.46
2026-08-09 20:00:00,27.8,60,4.1,,0.03
2026-08-09 21:00:00,27.2,61,3.3,,
2026-08-09 22:00:00,26.8,63,4.0,,
2026-08-09 23:00:00,26.3,64,4.0,,
2026-08-10 00:00:00,25.8,64,4.1,,
2026-08-10 01:00:00,25.5,66,4.6,,
2026-08-10 02:00:00,25.3,67,3.0,,
2026-08-10 03:00:00,25.2,67,2.7,,
2026-08-10 04:00:00,25.1,69,3.2,,
2026-08-10 05:00:00,24.8,70,3.0,,
2026-08-10 06:00:00,24.9,70,3.0,,0.0
2026-08-10 07:00:00,25.2,68,3.2,,0.26
2026-08-10 08:00:00,26.1,66,3.1,,0.6
2026-08-10 09:00:00,27.3,63,3.2,,0.94
2026-08-10 10:00:00,28.5,58,3.7,,1.89
2026-08-10 11:00:00,30.4,53,3.1,,2.66
2026-08-10 12:00:00,31.4,51,3.1,,2.94
2026-08-10 13:00:00,32.9,47,2.0,,2.99
2026-08-10 14:00:00,33.3,43,2.1,,2.61
2026-08-10 15:00:00,34.2,43,2.5,,2.74
2026-08-10 16:00:00,34.0,44,1.6,,2.06
2026-08-10 17:00:00,32.9,47,3.4,,1.1
2026-08-10 18:00:00,32.4,48,2.1,,0.47
2026-08-10 19:00:00,31.6,51,2.4,,0.31
2026-08-10 20:00:00,30.5,54,2.0,,0.04
2026-08-10 21:00:00,29.9,57,2.4,,
2026-08-10 22:00:00,29.5,58,2.8,,
2026-08-10 23:00:00,28.7,63,2.8,,
2026-08-11 00:00:00,27.7,62,2.8,,
2026-08-11 01:00:00,26.8,61,3.6,,
2026-08-11 02:00:00,26.2,61,3.3,,
2026-08-11 03:00:00,25.5,63,3.0,,
2026-08-11 04:00:00,24.8,65,3.5,,
2026-08-11 05:00:00,24.4,65,4.1,,
2026-08-11 06:00:00,24.2,68,2.0,,0.01
2026-08-11 07:00:00,24.4,69,3.2,,0.16
2026-08-11 08:00:00,25.2,64,3.9,,0.5
2026-08-11 09:00:00,26.7,59,4.5,,1.31
2026-08-11 10:00:00,28.3,55,1.8,,2.16
2026-08-11 11:00:00,29.9,51,2.9,,2.79
2026-08-11 12:00:00,31.3,48,2.8,,3.08
2026-08-11 13:00:00,32.4,43,3.8,,3.48
2026-08-11 14:00:00,33.1,41,4.2,,3.45
2026-08-11 15:00:00,34.3,41,3.4,,3.26
2026-08-11 16:00:00,33.9,41,3.7,,2.19
2026-08-11 17:00:00,33.3,43,2.9,,1.81
2026-08-11 18:00:00,31.7,47,4.3,,0.95
2026-08-11 19:00:00,29.5,50,4.0,,0.45
2026-08-11 20:00:00,27.8,55,2.9,,0.03
2026-08-11 21:00:00,26.8,57,3.0,,
2026-08-11 22:00:00,25.9,60,3.4,,
2026-08-11 23:00:00,25.1,61,4.4,,
2026-08-12 00:00:00,24.4,60,4.1,,
2026-08-12 01:00:00,23.6,58,4.7,,
2026-08-12 02:00:00,23.1,58,3.9,,
2026-08-12 03:00:00,22.5,58,3.8,,
2026-08-12 04:00:00,22.2,60,3.1,,
2026-08-12 05:00:00,21.9,61,2.6,,
2026-08-12 06:00:00,21.5,62,2.3,,0.0
2026-08-12 07:00:00,22.0,59,4.1,,0.33
2026-08-12 08:00:00,23.9,53,4.1,,0.99
2026-08-12 09:00:00,25.4,49,3.6,,1.8
2026-08-12 10:00:00,26.7,46,5.0,,2.43
2026-08-12 11:00:00,28.2,44,3.7,,3.02
2026-08-12 12:00:00,29.3,43,3.7,,3.39
2026-08-12 13:00:00,30.7,42,4.0,,3.52
2026-08-12 14:00:00,31.1,42,4.0,,3.44
2026-08-12 15:00:00,31.9,42,3.6,,3.13
2026-08-12 16:00:00,31.5,43,4.9,,2.66
2026-08-12 17:00:00,31.4,44,3.2,,1.99
2026-08-12 18:00:00,30.2,47,3.7,,1.25
2026-08-12 19:00:00,28.8,50,4.7,,0.53
2026-08-12 20:00:00,27.6,54,4.2,,0.02
2026-08-12 21:00:00,26.9,56,3.3,,
2026-08-12 22:00:00,26.1,59,2.9,,
2026-08-12 23:00:00,25.5,62,2.8,,
2026-08-13 00:00:00,24.4,64,3.1,,
2026-08-13 01:00:00,23.8,68,2.7,,
2026-08-13 02:00:00,23.3,68,2.3,,
2026-08-13 03:00:00,22.8,69,2.4,,
2026-08-13 04:00:00,22.4,71,2.5,,
2026-08-13 05:00:00,22.2,72,1.9,,
2026-08-13 06:00:00,22.1,74,1.7,,0.01
2026-08-13 07:00:00,22.9,73,2.5,,0.22
2026-08-13 08:00:00,23.8,71,1.9,,0.44
2026-08-13 09:00:00,25.8,65,2.0,,1.16
2026-08-13 10:00:00,27.6,59,2.5,,1.97
2026-08-13 11:00:00,29.1,55,1.8,,2.16
2026-08-13 12:00:00,31.0,49,2.6,,3.28
2026-08-13 13:00:00,31.8,48,2.9,,2.47
2026-08-13 14:00:00,31.7,47,3.5,,2.04
2026-08-13 15:00:00,31.5,49,3.0,,1.21
2026-08-13 16:00:00,31.3,49,2.9,,1.23
2026-08-13 17:00:00,31.2,50,2.7,,1.26
2026-08-13 18:00:00,31.2,51,3.3,,1.21
2026-08-13 19:00:00,30.2,53,3.6,,0.34
2026-08-13 20:00:00,28.7,57,2.6,,0.03
2026-08-13 21:00:00,27.7,60,1.6,,
2026-08-13 22:00:00,27.0,63,2.2,,
2026-08-13 23:00:00,26.3,65,1.4,,
2026-08-14 00:00:00,25.9,66,2.5,,
2026-08-14 01:00:00,25.5,67,1.8,,
2026-08-14 02:00:00,25.3,68,2.4,,
2026-08-14 03:00:00,25.1,68,2.2,,
2026-08-14 04:00:00,25.0,71,2.3,,
2026-08-14 05:00:00,24.9,72,2.1,,
2026-08-14 06:00:00,24.8,72,2.2,,0.0
2026-08-14 07:00:00,24.9,71,2.1,,0.14
2026-08-14 08:00:00,25.9,70,1.9,,0.45
2026-08-14 09:00:00,27.1,65,1.7,,0.84
2026-08-14 10:00:00,29.1,58,2.0,,1.82
2026-08-14 11:00:00,31.1,52,2.0,,2.56
2026-08-14 12:00:00,31.3,50,1.3,,2.22
2026-08-14 13:00:00,31.5,51,1.8,,1.37
2026-08-14 14:00:00,30.9,52,1.9,,0.56
2026-08-14 15:00:00,31.2,54,1.8,,0.64
2026-08-14 16:00:00,30.9,56,2.9,,0.92
2026-08-14 17:00:00,30.6,58,2.3,,0.43
2026-08-14 18:00:00,30.4,57,0.3,,0.28
2026-08-14 19:00:00,28.5,74,2.5,0.2,0.15
2026-08-14 20:00:00,26.7,81,1.7,0.0,0.0
2026-08-14 21:00:00,26.4,83,2.2,0.0,
2026-08-14 22:00:00,26.2,82,1.4,0.0,
2026-08-14 23:00:00,26.2,83,1.2,0.0,
